Group 55	(omitted pair: (3, 13)): 	[(0, 7, 12),(1, 11, 15),(2, 6, 14),(4, 8, 9),(5, 10, 16)]
Group 56	(omitted pair: (3, 14)): 	[(0, 11, 15),(1, 6, 12),(2, 7, 16),(4, 8, 10),(5, 9, 13)]
Group 57	(omitted pair: (3, 15)): 	[(0, 5, 14),(1, 4, 10),(2, 9, 12),(6, 8, 16),(7, 11, 13)]
Group 58	(omitted pair: (3, 16)): 	[(0, 8, 9),(1, 6, 11),(2, 7, 13),(4, 10, 15),(5, 12, 14)]
Group 59	(omitted pair: (4, 5)): 	[(0, 9, 15),(1, 3, 11),(2, 12, 16),(6, 10, 13),(7, 8, 14)]
Group 60	(omitted pair: (4, 6)): 	[(0, 7, 9),(1, 8, 12),(2, 11, 16),(3, 13, 14),(5, 10, 15)]
Group 61	(omitted pair: (4, 7)): 	[(0, 10, 11),(1, 8, 16),(2, 5, 13),(3, 12, 14),(6, 9, 15)]
Group 62	(omitted pair: (4, 8)): 	[(0, 3, 15),(1, 11, 12),(2, 10, 13),(5, 7, 9),(6, 14, 16)]
Group 63	(omitted pair: (4, 9)): 	[(0, 12, 14),(1, 5, 7),(2, 13, 15),(3, 8, 11),(6, 10, 16)]
Group 64	(omitted pair: (4, 10)): 	[(0, 6, 16),(1, 11, 13),(2, 7, 12),(3, 8, 14),(5, 9, 15)]
Group 65	(omitted pair: (4, 11)): 	[(0, 12, 15),(1, 3, 10),(2, 8, 14),(5, 9, 16),(6, 7, 13)]
Group 66	(omitted pair: (4, 12)): 	[(0, 6, 15),(1, 9, 11),(2, 7, 14),(3, 13, 16),(5, 8, 10)]
Group 67	(omitted pair: (4, 13)): 	[(0, 8, 14),(1, 5, 12),(2, 10, 11),(3, 9, 15),(6, 7, 16)]
Group 68	(omitted pair: (4, 14)): 	[(0, 9, 13),(1, 6, 16),(2, 5, 7),(3, 11, 12),(8, 10, 15)]
Group 69	(omitted pair: (4, 15)): 	[(0, 3, 11),(1, 5, 9),(2, 10, 16),(6, 8, 12),(7, 13, 14)]
Group 70	(omitted pair: (4, 16)): 	[(0, 3, 12),(1, 10, 15),(2, 7, 8),(5, 9, 14),(6, 11, 13)]
Group 71	(omitted pair: (5, 6)): 	[(0, 15, 16),(1, 7, 14),(2, 12, 13),(3, 8, 9),(4, 10, 11)]
Group 72	(omitted pair: (5, 7)): 	[(0, 8, 12),(1, 11, 16),(2, 14, 15),(3, 10, 13),(4, 6, 9)]
Group 73	(omitted pair: (5, 8)): 	[(0, 6, 11),(1, 12, 13),(2, 10, 15),(3, 9, 16),(4, 7, 14)]
Group 74	(omitted pair: (5, 9)): 	[(0, 4, 16),(1, 3, 13),(2, 8, 10),(6, 7, 12),(11, 14, 15)]
Group 75	(omitted pair: (5, 10)): 	[(0, 1, 3),(2, 11, 12),(4, 14, 16),(6, 8, 9),(7, 13, 15)]
Group 76	(omitted pair: (5, 11)): 	[(0, 12, 13),(1, 4, 9),(2, 10, 14),(3, 8, 16),(6, 7, 15)]
Group 77	(omitted pair: (5, 12)): 	[(0, 13, 16),(1, 4, 15),(2, 9, 10),(3, 11, 14),(6, 7, 8)]
Group 78	(omitted pair: (5, 13)): 	[(0, 7, 15),(1, 4, 11),(2, 8, 12),(3, 14, 16),(6, 9, 10)]
Group 79	(omitted pair: (5, 14)): 	[(0, 3, 16),(1, 7, 9),(2, 4, 10),(6, 11, 15),(8, 12, 13)]
Group 80	(omitted pair: (5, 15)): 	[(0, 4, 7),(1, 10, 14),(2, 8, 11),(3, 12, 16),(6, 9, 13)]
Group 81	(omitted pair: (5, 16)): 	[(0, 7, 11),(1, 3, 14),(2, 6, 15),(4, 8, 13),(9, 10, 12)]
Group 82	(omitted pair: (6, 7)): 	[(0, 10, 13),(1, 9, 14),(2, 5, 16),(3, 8, 12),(4, 11, 15)]
Group 83	(omitted pair: (6, 8)): 	[(0, 13, 14),(1, 3, 9),(2, 5, 12),(4, 7, 15),(10, 11, 16)]
Group 84	(omitted pair: (6, 9)): 	[(0, 7, 13),(1, 5, 15),(2, 10, 12),(3, 11, 16),(4, 8, 14)]
Group 85	(omitted pair: (6, 10)): 	[(0, 4, 15),(1, 7, 16),(2, 5, 14),(3, 8, 13),(9, 11, 12)]
Group 86	(omitted pair: (6, 11)): 	[(0, 5, 13),(1, 12, 14),(2, 3, 16),(4, 7, 10),(8, 9, 15)]
Group 87	(omitted pair: (6, 12)): 	[(0, 8, 15),(1, 3, 7),(2, 4, 14),(5, 13, 16),(9, 10, 11)]
Group 88	(omitted pair: (6, 13)): 	[(0, 10, 16),(1, 9, 15),(2, 4, 11),(3, 7, 12),(5, 8, 14)]
Group 89	(omitted pair: (6, 14)): 	[(0, 3, 9),(1, 4, 7),(2, 13, 16),(5, 10, 11),(8, 12, 15)]
Group 90	(omitted pair: (6, 15)): 	[(0, 11, 14),(1, 8, 9),(2, 4, 13),(3, 7, 16),(5, 10, 12)]
Group 91	(omitted pair: (6, 16)): 	[(0, 3, 13),(1, 7, 10),(2, 8, 15),(4, 12, 14),(5, 9, 11)]
Group 92	(omitted pair: (7, 8)): 	[(0, 9, 10),(1, 11, 14),(2, 3, 13),(4, 6, 15),(5, 12, 16)]
Group 93	(omitted pair: (7, 9)): 	[(0, 8, 16),(1, 4, 12),(2, 6, 10),(3, 14, 15),(5, 11, 13)]
Group 94	(omitted pair: (7, 10)): 	[(0, 6, 13),(1, 14, 15),(2, 4, 16),(3, 9, 11),(5, 8, 12)]
Group 95	(omitted pair: (7, 11)): 	[(0, 8, 13),(1, 12, 15),(2, 9, 14),(3, 10, 16),(4, 5, 6)]
Group 96	(omitted pair: (7, 12)): 	[(0, 10, 14),(1, 4, 13),(2, 8, 9),(3, 6, 16),(5, 11, 15)]
Group 97	(omitted pair: (7, 13)): 	[(0, 4, 11),(1, 10, 16),(2, 3, 15),(5, 9, 12),(6, 8, 14)]
Group 98	(omitted pair: (7, 14)): 	[(0, 11, 16),(1, 8, 13),(2, 3, 5),(4, 9, 15),(6, 10, 12)]
Group 99	(omitted pair: (7, 15)): 	[(0, 4, 8),(1, 2, 16),(3, 9, 14),(5, 10, 13),(6, 11, 12)]
Group 100	(omitted pair: (7, 16)): 	[(0, 6, 8),(1, 9, 10),(2, 13, 14),(3, 11, 15),(4, 5, 12)]
Group 101	(omitted pair: (8, 9)): 	[(0, 10, 12),(1, 5, 11),(2, 15, 16),(3, 7, 13),(4, 6, 14)]
Group 102	(omitted pair: (8, 10)): 	[(0, 6, 12),(1, 13, 14),(2, 5, 11),(3, 15, 16),(4, 7, 9)]
Group 103	(omitted pair: (8, 11)): 	[(0, 7, 10),(1, 6, 9),(2, 3, 12),(4, 15, 16),(5, 13, 14)]
Group 104	(omitted pair: (8, 12)): 	[(0, 6, 10),(1, 4, 16),(2, 5, 9),(3, 13, 15),(7, 11, 14)]
Group 105	(omitted pair: (8, 13)): 	[(0, 4, 14),(1, 3, 5),(2, 9, 15),(6, 11, 16),(7, 10, 12)]
Group 106	(omitted pair: (8, 14)): 	[(0, 9, 11),(1, 13, 15),(2, 3, 7),(4, 10, 16),(5, 6, 12)]
Group 107	(omitted pair: (8, 15)): 	[(0, 6, 14),(1, 9, 12),(2, 3, 11),(4, 10, 13),(5, 7, 16)]
Group 108	(omitted pair: (8, 16)): 	[(0, 13, 15),(1, 5, 10),(2, 6, 11),(3, 7, 14),(4, 9, 12)]
Group 109	(omitted pair: (9, 10)): 	[(0, 5, 15),(1, 13, 16),(2, 4, 8),(3, 7, 11),(6, 12, 14)]
Group 110	(omitted pair: (9, 11)): 	[(0, 7, 16),(1, 6, 10),(2, 3, 14),(4, 12, 15),(5, 8, 13)]
Group 111	(omitted pair: (9, 12)): 	[(0, 5, 7),(1, 15, 16),(2, 3, 10),(4, 8, 11),(6, 13, 14)]
Group 112	(omitted pair: (9, 13)): 	[(0, 5, 6),(1, 7, 15),(2, 11, 14),(3, 8, 10),(4, 12, 16)]
Group 113	(omitted pair: (9, 14)): 	[(0, 7, 8),(1, 5, 16),(2, 4, 12),(3, 10, 11),(6, 13, 15)]
Group 114	(omitted pair: (9, 15)): 	[(0, 7, 14),(1, 3, 8),(2, 5, 10),(4, 11, 16),(6, 12, 13)]
Group 115	(omitted pair: (9, 16)): 	[(0, 14, 15),(1, 4, 5),(2, 6, 8),(3, 12, 13),(7, 10, 11)]
Group 116	(omitted pair: (10, 11)): 	[(0, 14, 16),(1, 4, 8),(2, 6, 13),(3, 7, 9),(5, 12, 15)]
Group 117	(omitted pair: (10, 12)): 	[(0, 9, 16),(1, 8, 11),(2, 3, 6),(4, 14, 15),(5, 7, 13)]
Group 118	(omitted pair: (10, 13)): 	[(0, 3, 14),(1, 7, 11),(2, 4, 15),(5, 8, 9),(6, 12, 16)]
Group 119	(omitted pair: (10, 14)): 	[(0, 9, 12),(1, 7, 13),(2, 6, 16),(3, 8, 15),(4, 5, 11)]
Group 120	(omitted pair: (10, 15)): 	[(0, 3, 8),(1, 6, 14),(2, 11, 13),(4, 9, 16),(5, 7, 12)]
Group 121	(omitted pair: (10, 16)): 	[(0, 6, 7),(1, 3, 15),(2, 9, 13),(4, 8, 12),(5, 11, 14)]
Group 122	(omitted pair: (11, 12)): 	[(0, 4, 13),(1, 8, 10),(2, 9, 16),(3, 6, 15),(5, 7, 14)]
Group 123	(omitted pair: (11, 13)): 	[(0, 5, 10),(1, 6, 7),(2, 8, 16),(3, 12, 15),(4, 9, 14)]
Group 124	(omitted pair: (11, 14)): 	[(0, 12, 16),(1, 6, 13),(2, 3, 8),(4, 5, 10),(7, 9, 15)]
Group 125	(omitted pair: (11, 15)): 	[(0, 3, 10),(1, 5, 14),(2, 6, 12),(4, 7, 13),(8, 9, 16)]
Group 126	(omitted pair: (11, 16)): 	[(0, 8, 10),(1, 3, 12),(2, 5, 6),(4, 9, 13),(7, 14, 15)]
Group 127	(omitted pair: (12, 13)): 	[(0, 5, 11),(1, 9, 16),(2, 6, 7),(3, 10, 14),(4, 8, 15)]
Group 128	(omitted pair: (12, 14)): 	[(0, 4, 10),(1, 6, 15),(2, 7, 9),(3, 11, 13),(5, 8, 16)]
Group 129	(omitted pair: (12, 15)): 	[(0, 5, 8),(1, 3, 16),(2, 6, 9),(4, 11, 14),(7, 10, 13)]
Group 130	(omitted pair: (12, 16)): 	[(0, 4, 6),(1, 7, 8),(2, 11, 15),(3, 9, 13),(5, 10, 14)]
Group 131	(omitted pair: (13, 14)): 	[(0, 4, 12),(1, 10, 11),(2, 5, 8),(3, 7, 15),(6, 9, 16)]
Group 132	(omitted pair: (13, 15)): 	[(0, 8, 11),(1, 7, 12),(2, 3, 9),(4, 5, 16),(6, 10, 14)]
Group 133	(omitted pair: (13, 16)): 	[(0, 1, 2),(3, 9, 10),(4, 11, 12),(5, 8, 15),(6, 7, 14)]
Group 134	(omitted pair: (14, 15)): 	[(0, 11, 13),(1, 5, 6),(2, 7, 10),(3, 9, 12),(4, 8, 16)]
Group 135	(omitted pair: (14, 16)): 	[(0, 5, 9),(1, 6, 8),(2, 7, 11),(3, 10, 15),(4, 12, 13)]
Group 136	(omitted pair: (15, 16)): 	[(0, 9, 14),(1, 5, 13),(2, 4, 6),(3, 10, 12),(7, 8, 11)]
