Group 49 (omitted pair: (1, 19)): 	[(0, 12, 31),(2, 10, 29),(3, 21, 24),(4, 7, 27),(5, 23, 25),(6, 9, 11),(8, 16, 18),(13, 28, 30),(14, 15, 17),(20, 22, 26)]
Group 50 (omitted pair: (1, 20)): 	[(0, 6, 14),(2, 5, 31),(3, 9, 27),(4, 7, 12),(8, 25, 28),(10, 16, 30),(11, 13, 18),(15, 17, 23),(19, 21, 26),(22, 24, 29)]
Group 51 (omitted pair: (1, 21)): 	[(0, 6, 25),(2, 16, 20),(3, 10, 14),(4, 19, 24),(5, 18, 31),(7, 29, 30),(8, 13, 22),(9, 12, 28),(11, 17, 27),(15, 23, 26)]
Group 52 (omitted pair: (1, 22)): 	[(0, 8, 11),(2, 21, 25),(3, 5, 16),(4, 6, 24),(7, 15, 26),(9, 12, 19),(10, 13, 14),(17, 18, 31),(20, 28, 29),(23, 27, 30)]
Group 53 (omitted pair: (1, 23)): 	[(0, 9, 20),(2, 16, 28),(3, 8, 13),(4, 17, 31),(5, 25, 27),(6, 12, 29),(7, 10, 19),(11, 14, 18),(15, 21, 30),(22, 24, 26)]
Group 54 (omitted pair: (1, 24)): 	[(0, 7, 15),(2, 12, 18),(3, 4, 10),(5, 17, 27),(6, 13, 23),(8, 21, 26),(9, 25, 28),(11, 16, 19),(14, 30, 31),(20, 22, 29)]
Group 55 (omitted pair: (1, 25)): 	[(0, 19, 29),(2, 8, 15),(3, 13, 26),(4, 17, 23),(5, 7, 18),(6, 12, 20),(9, 24, 30),(10, 11, 27),(14, 16, 31),(21, 22, 28)]
Group 56 (omitted pair: (1, 26)): 	[(0, 2, 6),(3, 12, 25),(4, 13, 16),(5, 17, 31),(7, 15, 30),(8, 23, 28),(9, 19, 24),(10, 18, 29),(11, 20, 27),(14, 21, 22)]
Group 57 (omitted pair: (1, 27)): 	[(0, 12, 22),(2, 15, 29),(3, 6, 30),(4, 24, 25),(5, 21, 28),(7, 8, 11),(9, 13, 16),(10, 17, 31),(14, 18, 20),(19, 23, 26)]
Group 58 (omitted pair: (1, 28)): 	[(0, 17, 27),(2, 8, 9),(3, 20, 24),(4, 11, 30),(5, 15, 21),(6, 10, 22),(7, 19, 29),(12, 14, 18),(13, 26, 31),(16, 23, 25)]
Group 59 (omitted pair: (1, 29)): 	[(0, 14, 24),(2, 4, 27),(3, 22, 30),(5, 16, 26),(6, 9, 17),(7, 13, 31),(8, 21, 23),(10, 15, 28),(11, 18, 25),(12, 19, 20)]
Group 60 (omitted pair: (1, 30)): 	[(0, 2, 4),(3, 22, 23),(5, 21, 31),(6, 18, 27),(7, 13, 20),(8, 9, 28),(10, 11, 14),(12, 15, 26),(16, 17, 24),(19, 25, 29)]
Group 61 (omitted pair: (1, 31)): 	[(0, 5, 29),(2, 11, 12),(3, 21, 28),(4, 14, 16),(6, 10, 15),(7, 9, 26),(8, 19, 24),(13, 17, 20),(18, 22, 27),(23, 25, 30)]
Group 62 (omitted pair: (2, 3)): 	[(0, 4, 9),(1, 18, 26),(5, 8, 17),(6, 14, 15),(7, 27, 30),(10, 19, 22),(11, 20, 23),(12, 29, 31),(13, 25, 28),(16, 21, 24)]
Group 63 (omitted pair: (2, 4)): 	[(0, 6, 9),(1, 8, 10),(3, 5, 23),(7, 15, 24),(11, 19, 21),(12, 17, 25),(13, 18, 26),(14, 16, 20),(22, 28, 30),(27, 29, 31)]
Group 64 (omitted pair: (2, 5)): 	[(0, 1, 11),(3, 17, 31),(4, 12, 28),(6, 14, 25),(7, 21, 22),(8, 19, 23),(9, 10, 29),(13, 18, 30),(15, 16, 27),(20, 24, 26)]
Group 65 (omitted pair: (2, 6)): 	[(0, 24, 26),(1, 22, 29),(3, 5, 8),(4, 15, 21),(7, 10, 20),(9, 11, 13),(12, 27, 30),(14, 19, 25),(16, 17, 31),(18, 23, 28)]
Group 66 (omitted pair: (2, 7)): 	[(0, 16, 28),(1, 15, 19),(3, 12, 29),(4, 17, 27),(5, 14, 25),(6, 11, 13),(8, 22, 23),(9, 18, 24),(10, 30, 31),(20, 21, 26)]
Group 67 (omitted pair: (2, 8)): 	[(0, 17, 24),(1, 19, 29),(3, 16, 23),(4, 20, 21),(5, 28, 31),(6, 7, 12),(9, 27, 30),(10, 13, 15),(11, 14, 26),(18, 22, 25)]
Group 68 (omitted pair: (2, 9)): 	[(0, 18, 31),(1, 12, 14),(3, 7, 27),(4, 19, 21),(5, 8, 13),(6, 15, 30),(10, 20, 22),(11, 24, 26),(16, 17, 23),(25, 28, 29)]
Group 69 (omitted pair: (2, 10)): 	[(0, 21, 30),(1, 14, 16),(3, 11, 23),(4, 13, 20),(5, 15, 29),(6, 22, 25),(7, 18, 27),(8, 12, 17),(9, 24, 26),(19, 28, 31)]
Group 70 (omitted pair: (2, 11)): 	[(0, 5, 23),(1, 7, 13),(3, 19, 30),(4, 20, 31),(6, 8, 15),(9, 16, 18),(10, 14, 25),(12, 17, 22),(21, 24, 27),(26, 28, 29)]
Group 71 (omitted pair: (2, 12)): 	[(0, 11, 31),(1, 4, 28),(3, 22, 25),(5, 20, 26),(6, 7, 23),(8, 18, 24),(9, 14, 30),(10, 13, 17),(15, 16, 21),(19, 27, 29)]
Group 72 (omitted pair: (2, 13)): 	[(0, 9, 12),(1, 4, 14),(3, 11, 27),(5, 19, 24),(6, 16, 21),(7, 20, 23),(8, 10, 18),(15, 30, 31),(17, 22, 28),(25, 26, 29)]
Group 73 (omitted pair: (2, 14)): 	[(0, 4, 16),(1, 27, 31),(3, 18, 24),(5, 6, 19),(7, 10, 15),(8, 9, 29),(11, 17, 23),(12, 13, 26),(20, 21, 30),(22, 25, 28)]
Group 74 (omitted pair: (2, 15)): 	[(0, 26, 28),(1, 3, 6),(4, 12, 16),(5, 9, 18),(7, 29, 31),(8, 14, 24),(10, 23, 30),(11, 21, 27),(13, 20, 22),(17, 19, 25)]
Group 75 (omitted pair: (2, 16)): 	[(0, 10, 26),(1, 3, 7),(4, 5, 28),(6, 24, 27),(8, 9, 30),(11, 18, 22),(12, 13, 21),(14, 20, 23),(15, 19, 25),(17, 29, 31)]
